source_file,pipeline,horizon,model,n_test,n_bootstrap,block_len,mae_point,mae_lower95,mae_upper95,rmse_point,rmse_lower95,rmse_upper95,mae_top_decile_point,mae_top_decile_lower95,mae_top_decile_upper95
tabular_h168_xgboost.csv,tabular,h168,xgboost,4037,1000,168,43.462794321280825,36.687859070115024,51.23433558215533,50.932072665934456,44.26184522802446,57.86603846963911,28.8063063475886,25.866412821007863,31.88369475878021
tabular_h24_linear_svr.csv,tabular,h24,linear_svr,4037,1000,168,20.104245723563356,18.469293309559287,22.087935171822682,26.168834680633342,24.643380744757735,28.06733569663225,51.92616514959674,47.53765913292785,57.1319679055742
tabular_h24_naive_level.csv,tabular,h24,naive_level,4037,1000,168,13.333089692765114,11.485365460852329,15.021226531709164,22.459198793445605,19.162112865587265,25.705783883131033,34.56545566502463,28.117227951961862,41.84985738678034
tabular_h24_rf.csv,tabular,h24,rf,4037,1000,168,14.0904386269871,12.621120005463942,15.578213648365411,18.970143271320165,17.010465776481297,21.00126151940346,27.040192697231873,22.152455835926144,32.364927927072785
tabular_h24_ridge.csv,tabular,h24,ridge,4037,1000,168,25.242398977175416,23.8781571489147,27.18400823033018,30.4838790833464,29.143845896490998,32.11574886926225,54.50924195992488,49.70817142531464,59.55625064554262
tabular_h24_ridge_ar_lag_fourier.csv,tabular,h24,ridge_ar_lag_fourier,4037,1000,168,11.960368602918498,10.957729039706484,12.981594030077654,18.22157058012975,16.242330118671493,20.319128939877654,35.650785343560806,30.98624072174735,40.85597958976563
tabular_h24_seasonal_naive_168h.csv,tabular,h24,seasonal_naive_168h,4037,1000,168,14.587057475779,13.332024440966862,15.640658004298935,21.458337175626333,19.6320635309826,23.32896209017427,31.896650124069485,27.721309488245623,36.57632448357448
tabular_h24_seasonal_naive_24h.csv,tabular,h24,seasonal_naive_24h,4037,1000,168,13.758238354806739,12.239596164306066,15.09712980173482,21.936143071014374,19.061874716577037,24.66308582984213,35.6391933497537,29.700863425925924,41.267217592592594
tabular_h24_seasonal_naive_336h.csv,tabular,h24,seasonal_naive_336h,4037,1000,168,15.666707949562099,13.398774782109223,17.670182471940755,23.432085080866894,20.358836519920494,25.943554812286184,33.336,28.903249363327678,38.34218424687409
tabular_h24_seasonal_naive_672h.csv,tabular,h24,seasonal_naive_672h,4037,1000,168,18.987970272049107,17.735806665710438,20.400928046186554,26.129244678357686,24.04832463780971,28.922225101938228,40.66675531914894,36.16425024874293,46.46712818929902
