file,pipeline,horizon,model,site,n,q_pool,n90_pool,mae90_pool_thr,q_site,n90_site,mae90_site_thr
deep_mh_h672_mh_lstm.csv,deep,h672,mh_lstm,Tema Port,90,58.0,9,41.773827446831596,57.83,9,41.773827446831596
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,"Divine healer's Church, Bethlehem",151,58.0,22,17.686073650013316,63.8,16,22.032206058502197
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,"Satet International School, Tema Manhean",140,58.0,25,35.27585876464844,71.36,14,52.133955819266184
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,Tema Community 25 Estate,231,58.0,0,,42.7,24,24.293708602587383
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,Tema Community 3 SSNIT Flat,672,58.0,70,37.955560193743025,58.37,68,38.6426783730002
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,"Tema Community 7, Royal School",673,58.0,71,30.687196436062663,59.66,68,31.86772402595071
deep_mh_h672_mh_lstm_mha.csv,deep,h672,mh_lstm_mha,Tema Port,90,58.0,9,25.654035356309677,57.83,9,25.654035356309677
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,"Divine healer's Church, Bethlehem",673,59.6,104,66.77405030395941,65.1,69,74.15149183124903
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,"Satet International School, Tema Manhean",673,59.6,107,68.16487582364383,69.6,69,78.72438446302158
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,Tema Community 25 Estate,673,59.6,13,82.1264777032537,43.3,70,59.51125836663085
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,Tema Community 3 SSNIT Flat,672,59.6,64,77.43338427303647,58.37,68,75.61013584891546
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,"Tema Community 7, Royal School",673,59.6,68,69.06604419360353,59.66,68,69.06604419360353
tabular_h168_linear_svr.csv,tabular,h168,linear_svr,Tema Port,673,59.6,50,65.04043119098571,55.98,68,61.778793884573105
